date,category,amount,description
2026-01-08,Marketing,350.00,Facebook Ads
2026-01-15,Marketing,420.00,Google Ads
2026-02-05,Office Supplies,89.90,Printer Paper
2026-02-20,Office Supplies,135.50,Ink Cartridges
2026-03-12,Software,49.90,Canva Subscription
2026-03-25,Software,79.90,Hosting Service
2026-04-10,Travel,650.00,Business Trip
2026-04-18,Travel,120.00,Taxi Expenses
2026-05-05,Training,199.00,Online Course
2026-05-28,Training,299.00,Workshop
2026-06-07,Equipment,850.00,Office Chair
2026-06-22,Equipment,1200.00,Monitor
2026-07-14,Marketing,500.00,Instagram Ads
2026-07-29,Software,99.90,Cloud Storage
2026-08-11,Travel,980.00,Conference Travel
2026-08-23,Training,150.00,Technical Book
2026-09-09,Equipment,350.00,Mechanical Keyboard
2026-09-27,Office Supplies,65.00,Notebooks
2026-10-15,Marketing,600.00,Campaign Launch
2026-10-30,Software,129.90,Development Tools
2026-11-06,Travel,450.00,Hotel
2026-11-18,Training,180.00,Certification Exam
2026-12-03,Equipment,250.00,Webcam
2026-12-20,Marketing,700.00,Holiday Campaign
